repository,instance_id,sample_id,smell,stage,reason,detail,timestamp
git@github.com:apache/axis1-java.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__axis1-java'...
remote: Repository not found.
fatal: repository 'https://github.com/apache/axis1-java.git/' not found",2026-09-03T23:29:31
git@github.com:apache/axis2-java.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__axis2-java'...
remote: Repository not found.
fatal: repository 'https://github.com/apache/axis2-java.git/' not found",2026-09-03T23:29:31
git@github.com:apache/webservices-xmlschema.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__webservices-xmlschema'...
remote: Repository not found.
fatal: repository 'https://github.com/apache/webservices-xmlschema.git/' not found",2026-09-03T23:54:01
git@github.com:apache/wss4j.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__wss4j'...
remote: Repository not found.
fatal: repository 'https://github.com/apache/wss4j.git/' not found",2026-09-03T23:54:09
git@github.com:eclipse/acceleo.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__acceleo'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/acceleo.git/' not found",2026-09-03T23:55:28
git@github.com:eclipse/bpmn2-modeler.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__bpmn2-modeler'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/bpmn2-modeler.git/' not found",2026-09-03T23:55:39
git@github.com:eclipse/dltk.core.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__dltk.core'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/dltk.core.git/' not found",2026-09-03T23:56:25
git@github.com:eclipse/eclipse.jdt.core.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__eclipse.jdt.core'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/eclipse.jdt.core.git/' not found",2026-09-03T23:56:31
git@github.com:eclipse/eclipse.platform.swt.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__eclipse.platform.swt'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/eclipse.platform.swt.git/' not found",2026-09-03T23:56:34
git@github.com:eclipse/eclipse.platform.ui.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__eclipse.platform.ui'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/eclipse.platform.ui.git/' not found",2026-09-03T23:56:34
git@github.com:eclipse/egit-github.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__egit-github'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/egit-github.git/' not found",2026-09-03T23:56:35
git@github.com:eclipse/egit.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__egit'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/egit.git/' not found",2026-09-03T23:56:36
git@github.com:eclipse/jgit.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__jgit'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/jgit.git/' not found",2026-09-03T23:57:10
git@github.com:eclipse/linuxtools.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__linuxtools'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/linuxtools.git/' not found",2026-09-03T23:57:31
git@github.com:eclipse/m2e-core.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__m2e-core'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/m2e-core.git/' not found",2026-09-03T23:57:34
git@github.com:eclipse/nebula.widgets.nattable.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__nebula.widgets.nattable'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/nebula.widgets.nattable.git/' not found",2026-09-03T23:57:42
git@github.com:eclipse/rap.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__rap'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/rap.git/' not found",2026-09-03T23:58:19
git@github.com:eclipse/titan.EclipsePlug-ins.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__titan.EclipsePlug-ins'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/titan.EclipsePlug-ins.git/' not found",2026-09-03T23:58:38
git@github.com:eclipse/webtools.sourceediting.git,,,,clone,clone_failed,"Cloning into '/Users/praffulg/Downloads/Neelam paper/cache/repos/eclipse__webtools.sourceediting'...
remote: Repository not found.
fatal: repository 'https://github.com/eclipse/webtools.sourceediting.git/' not found",2026-09-03T23:58:48
