repository,instance_id,sample_id,smell,stage,reason,detail,timestamp
git@github.com:apache/calcite.git,4140191::feature envy,4140191,feature envy,persistence_history,unexpected_error,"Command '['git', '-C', '/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__calcite', 'show', 'a648f9c12309cc253628930b0cab98591caa66ab:linq4j/src/main/java/org/apache/calcite/linq4j/QueryableDefaults.java']' timed out after 60 seconds",2026-09-03T21:54:59
git@github.com:apache/calcite.git,4140191::long method,4140191,long method,persistence_history,entity_not_found_at_labelled_commit,"org.apache.calcite.linq4j.QueryableDefaults.selectManyN Queryable<T>|FunctionExpression<Function2<T, Integer, Enumerable<TResult>>>",2026-09-03T21:55:02
git@github.com:apache/calcite.git,4144475::feature envy,4144475,feature envy,persistence_history,unexpected_error,"Command '['git', '-C', '/Users/praffulg/Downloads/Neelam paper/cache/repos/apache__calcite', 'show', '82cdcc78dbcb8df44827c1a9fe1126ccfffc21ac:core/src/main/java/org/apache/calcite/rex/RexShuttle.java']' timed out after 60 seconds",2026-09-03T22:10:10
git@github.com:apache/directory-kerby.git,4300952::feature envy,4300952,feature envy,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:10
git@github.com:apache/directory-kerby.git,4300952::long method,4300952,long method,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:10
git@github.com:apache/directory-kerby.git,4301023::blob,4301023,blob,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301023::data class,4301023,data class,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301165::feature envy,4301165,feature envy,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301165::long method,4301165,long method,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301198::feature envy,4301198,feature envy,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301198::long method,4301198,long method,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301341::feature envy,4301341,feature envy,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301341::long method,4301341,long method,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301429::feature envy,4301429,feature envy,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301429::long method,4301429,long method,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301441::feature envy,4301441,feature envy,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301441::long method,4301441,long method,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301650::feature envy,4301650,feature envy,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301650::long method,4301650,long method,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
git@github.com:apache/directory-kerby.git,4301941::feature envy,4301941,feature envy,persistence_history,unexpected_error,Invalid isoformat string: '2019-02-21T10:53:28Z',2026-09-03T22:10:11
